taxid,status
651506,Data Deficient
2803960,Critically Endangered
143610,Critically Endangered
2760993,Least Concern
72259,Least Concern
1828423,Least Concern
2847329,Least Concern
2720032,Vulnerable
1954499,Least Concern
1954500,Least Concern
1954501,Least Concern
2720037,Near Threatened
2720038,Least Concern
1951289,Vulnerable
2720040,Least Concern
1951245,Vulnerable
1359235,Least Concern
2899101,Vulnerable
2720043,Near Threatened
2720044,Least Concern
2736927,Least Concern
2720045,Vulnerable
1954504,Least Concern
1951246,Least Concern
2720046,Least Concern
2720048,Least Concern
2899102,Least Concern
1954505,Least Concern
2720054,Critically Endangered
2726003,Least Concern
1954506,Vulnerable
2720055,Near Threatened
1954507,Least Concern
1951249,Vulnerable
312410,Vulnerable
112815,Least Concern
399177,Least Concern
2738455,Critically Endangered
2745886,Data Deficient
75332,Least Concern
515832,Data Deficient
515833,Least Concern
1507328,Least Concern
126358,Endangered
1610808,Least Concern
1682376,Least Concern
183219,Least Concern
491870,Least Concern
512180,Vulnerable
512171,Least Concern
512172,Least Concern
512173,Least Concern
512174,Near Threatened
512175,Least Concern
512176,Least Concern
512177,Least Concern
407932,Least Concern
512190,Least Concern
45372,Least Concern
97174,Least Concern
123605,Critically Endangered
66168,Near Threatened
74306,Least Concern
97173,Least Concern
425838,Least Concern
745662,Endangered
78260,Least Concern
97172,Endangered
46611,Least Concern
425842,Endangered
500449,Vulnerable
97168,Near Threatened
2316712,Near Threatened
342582,Near Threatened
97170,Endangered
34340,Least Concern
3320,Least Concern
78263,Least Concern
97176,Critically Endangered
97171,Least Concern
88725,Critically Endangered
425843,Least Concern
97175,Least Concern
425948,Least Concern
342581,Near Threatened
1045220,Vulnerable
745664,Critically Endangered
425844,Endangered
1704309,Least Concern
1704386,Least Concern
1003680,Data Deficient
129035,Least Concern
2608366,Least Concern
283347,Least Concern
283348,Least Concern
2867967,Least Concern
1423353,Least Concern
245592,Least Concern
71013,Least Concern
1884880,Least Concern
203277,Data Deficient
643435,Least Concern
289782,Vulnerable
289783,Least Concern
289784,Least Concern
1592055,Least Concern
289787,Vulnerable
289786,Least Concern
289789,Vulnerable
289790,Near Threatened
418440,Least Concern
289791,Least Concern
289792,Least Concern
289793,Least Concern
289794,Near Threatened
995025,Least Concern
2053933,Least Concern
34550,Least Concern
559535,Least Concern
2053934,Data Deficient
279096,Least Concern
2678262,Data Deficient
38527,Least Concern
1718143,Data Deficient
1258732,Least Concern
108855,Least Concern
1568925,Critically Endangered
126064,Least Concern
76642,Vulnerable
76643,Endangered
2753770,Data Deficient
76644,Critically Endangered
290733,Endangered
2753772,Endangered
76645,Endangered
76646,Critically Endangered
2201867,Endangered
278977,Endangered
76647,Least Concern
2201892,Endangered
76648,Endangered
76649,Vulnerable
102176,Vulnerable
2753773,Data Deficient
76650,Data Deficient
2753774,Least Concern
187816,Vulnerable
2753745,Vulnerable
752199,Least Concern
565568,Least Concern
330771,Least Concern
89096,Least Concern
978106,Least Concern
241142,Least Concern
553233,Least Concern
29094,Least Concern
1617949,Least Concern
29098,Least Concern
682468,Near Threatened
2588999,Data Deficient
2805046,Endangered
676137,Endangered
229087,Least Concern
229088,Least Concern
36214,Least Concern
1567454,Least Concern
36215,Least Concern
646011,Data Deficient
229089,Least Concern
2830206,Least Concern
229090,Data Deficient
2830204,Least Concern
229091,Least Concern
50731,Least Concern
229092,Least Concern
80948,Least Concern
192870,Least Concern
229093,Least Concern
36216,Least Concern
36217,Least Concern
192871,Least Concern
229094,Least Concern
125058,Near Threatened
341013,Least Concern
461542,Least Concern
461543,Least Concern
424427,Critically Endangered
424429,Least Concern
424430,Critically Endangered
424431,Critically Endangered
200669,Least Concern
61637,Least Concern
198736,Least Concern
178749,Least Concern
1173628,Least Concern
204988,Least Concern
1300364,Least Concern
1174699,Least Concern
1469204,Least Concern
865997,Least Concern
1174705,Least Concern
178750,Least Concern
1174708,Least Concern
1280773,Least Concern
1174709,Least Concern
205021,Least Concern
1174715,Least Concern
205022,Least Concern
205064,Least Concern
198737,Vulnerable
1173632,Least Concern
1174717,Endangered
1280774,Least Concern
1174720,Least Concern
1174722,Least Concern
1174723,Least Concern
1280776,Near Threatened
205025,Least Concern
1174727,Near Threatened
138511,Least Concern
1174733,Vulnerable
205027,Least Concern
1174736,Near Threatened
3029945,Critically Endangered
205030,Least Concern
1280778,Least Concern
1174737,Least Concern
1280780,Least Concern
1280784,Least Concern
1174740,Least Concern
1280787,Endangered
138512,Least Concern
1174742,Least Concern
1173633,Least Concern
198738,Least Concern
1280793,Endangered
205031,Least Concern
1174745,Least Concern
1469207,Least Concern
1280798,Least Concern
139006,Least Concern
138513,Least Concern
1173637,Least Concern
1173638,Least Concern
383637,Endangered
383638,Least Concern
1174748,Least Concern
205034,Least Concern
1280801,Least Concern
1174751,Least Concern
334157,Least Concern
1174753,Endangered
694535,Least Concern
694536,Least Concern
198740,Least Concern
138514,Least Concern
1173641,Least Concern
1174758,Least Concern
1173642,Least Concern
205037,Least Concern
1120444,Least Concern
3809,Least Concern
1174760,Least Concern
1378336,Least Concern
1174761,Least Concern
218783,Least Concern
1174765,Least Concern
205039,Least Concern
1174766,Least Concern
499986,Least Concern
1280804,Least Concern
205040,Least Concern
138515,Least Concern
334170,Least Concern
1173644,Least Concern
546665,Least Concern
198744,Least Concern
866000,Vulnerable
1619677,Least Concern
694537,Least Concern
205042,Least Concern
205356,Least Concern
383642,Least Concern
1280806,Least Concern
334168,Least Concern
1280808,Least Concern
