latin_name,taxid
Nyctereutes procyonoides,34880.0
Erinaceus amurensis,757341.0
Mustela sibirica,36240.0
Arctonyx albogularis,
Meles leucurus,702266.0
Lepus sinensis,112022.0
Callosciurus erythraeus,64677.0
Paguma larvata,9675.0
Rhizomys sinensis,146130.0
Hystrix brachyura,143286.0
Muntiacus reevesi,9886.0
Myocastor coypus,10157.0
Marmota himalayana,93163.0
Vulpes vulpes,9627.0
Neovison vison,452646.0
Sciurus vulgaris,55149.0
Sus scrofa,9823.0
Trogopterus xanthipes,226819.0
Corvus pectoralis,1196305.0
Spilopelia chinensis,115700.0
Pica pica,34924.0
Acridotheres cristatellus,451382.0
Alectoris chukar,9078.0
Phasianus colchicus,9054.0
Pavo cristatus,9049.0
Numida meleagris,8996.0
Orthriophis taeniurus,74398.0
Dinodon rufozonatum,74361.0
Bungarus multicinctus,8616.0
Sinonatrix annularis,2678873.0
Gloydius brevicaudus,3148161.0
Naja atra,8656.0
Naja kaouthia,8649.0
Ptyas mucosa,31142.0
Deinagkistrodon acutus,36307.0
Crocodylus siamensis,68455.0
Ptyas dhumnades,8587.0
Elaphe carinata,74364.0
